Aabha - light, 10 
Aabharan - Jewel, 10 
Aabheer - a cow herd, 10 
Aabher - a cow herd, 10 
Aadarsh - One who has principles, 10 
Aadesh - command; message, 10 
Aadhishankar - Sri Shankaracharya; founder of Adwaitha Philosophy, 10 
Aadhunik - modern; new, 10 
Aadi - first; most important, 10 
Aadinath - God; Supreme Ruler of the Universe; the first God, 10 
Aaditey - Son of Aditi, 10 
Aafreen - encouragement, 10 
Aagney - son of the Fire God, 10 
Aahlaad - delight, 10 
Aahlaadith - Joyous person, 10 
Aahwaanith - one who has been invited;wanted, 10 
Aakanksh - Desire, 10 
Aakar - form; shape, 10 
Aakash - the sky; vast like the sky, 10 
Aalam - ruler; king; the whole world, 10 
Aalap - musical prelude, 10 
Aalok - Cry of victory, 10 
Aandaleeb - The Bulbul bird, 10 
Aashish - blessings; Aashirwad, 10 
Aatish - Explosive; a Dynamic person, 10 
Abhay - fearless, 10 
Abhayananda - one who is delights in remaining fearless, 10 
Abhayaprada - bestower of safety, 10
Abheek - fearless, 10 
Abhibhava - powerful, 10
Abhichandra - moon like fac, 10
Abhidi - radiant, 10 
Abhihita - expression; word; name, 10 
Abhijat - Noble; wise, 10 
Abhijaya - conquest; complete victory, 10 
Abhijit - victorious, 10 
Abhijvala - blazing forth, 10 
Abhilash - desire, 10 
Abhimand - gladdening, 10 
Abhimani - full of pride; another name for Agni as the eldest son of Brahma, 10 
Abhimanyu - Arjuna's son, 10 
Abhimanyusuta - son or Abhimanyu, 10 
Abhimoda - joy; delight, 10 
Abhinabhas - renowned; famous, 10 
Abhinanda - to rejoice; to celebrate; to praise; to bless; delight, 10 
Abhinandana - felicitous; welcoming, 10 
Abhinatha - lord of desires; another name for kama, 10 
Abhinav - novel, 10 
Abhinava - new; young; fresh; modern; a sakta notable for his spiritual attainment, 10 
Abhirup - pleasing, 10 
Abhishek - an auspicious bath for a deity; anointing, 10 
Abhisoka - passionate; loving, 10 
Abhisumat - radiant; another name for sun, 10 
Abhisyanta - splendid; a son of Kuru and Vahini, 10 
Abhivira - surrounded by heroes; a commander, 10 
Abhra - cloud, 10 
Abhrakasin - with clouds for shelter; an ascetic, 10 
Abhyagni - towards the fire, 10
Abhyudaya - sunrise, 10
Abhyudita - prosperous, 10 
Abjayoni - born of the lotus, 10
Abjit - conquering water, 10 
Acaryatanaya - son of the teacher; another name for Aswatthama, 10 
Achal - constant, 10 
Achalapati - lord of the mountain, 10 
Achalendra - lord of the immovable; the Himalayas, 10 
Achalesvara - god of the immovable, 10
Achanda - gentle, 10 
Acharya - teacher, 10
Acharyanandana - son of the teacher; another name for Aswatthama, 10 
Acharyasuta - son of the teacher, 10
Achindra - flawless, 10
Achintya - inconceivable; a name of Lord Shiva; beyond comprehension, 10 
Achyut - imperishable; indestructible; a name of Vishnu, 10 
Achyuta - indestructible, 10 
Achyutaraya - worshipper of the infallible; a devotee of Vishnu, 10 
Adalarasu - king of dance, 10 
Adarsh - ideal, 10 
Adesh - command, 10 
Adhik - greater, 10 
Adhikara - principal; controller; right, 10 
Adhipa - king; ruler, 10 
Adhita - a scholar, 10 
Adikavi - first poet, 10 
Adil - sincere; just, 10 
Adinath - the first lord; Lord Vishnu, 10 
Adit - from the beginning, 10 
Aditeya - another name for the sun, 10 
Aditya - the sun, 10 
Adityanandana - son of the sun, 10 
Adityavardhana - augmented by glory, 10 
Adripathi - master of the mountains, 10 
Adwaita - non-duality, 10 
Adway - one; united, 10 
Aftab - the sun, 10 
Agasti - name of a sage, 10 
Agha - pre-eminent, 10 
Agharna - the moon, 10 
Aghat - destroyer of sin, 10 
Agneya - son of agni, 10 
Agnikumara - son of agni, 10 
Agniprava - bright as the fire, 10 
Agrim - leader; first, 10 
Agriya - first best, 10 
Ahsan - mercy, 10 
Aijaz - favour, 10 
Aiman - fearless, 10 
Ainesh - the sun's glory, 10 
Ajamil - a mythological king, 10 
Ajatashatru - without enemies, 10 
Ajay - invincible; unconquerable, 10 
Ajeet - unconquerable, 10
Ajendra - king of mountains, 10 
Ajinkya - invincible, 10 
Ajit - invincible, 10 
Ajitabh - one who has conquered the sky, 10 
Ajitesh - Vishnu, 10 
Ajmal - pious, 10 
Akalmash - stainless; pure, 10 
Akash - the sky, 10 
Akbar - powerful, 10 
Akhil - complete, 10 
Akhilesh - lord of all, 10 
Akmal - complete, 10 
Akram - excellent, 10 
Akroor - kind, 10 
Akshan - eye, 10 
Akshar - imperishable, 10 
Akshat - uninjurable, 10 
Akshath - indestructible, 10 
Akshay - indestructible, 10 
Akshit - permanent, 10 
Akul - a name of Lord Shiva , 10
Alagan - handsome , 10
Alagarasu - handsome king, 10
Alam - the whole world , 10
Alamgir - the lord of the whole world , 10
Aleem - knowledgeable , 10
Alhad - joy , 10
Ali - protected by god , 10
Alok - cry of victory, 10
Aloke - light , 10
Amaanath - treasure , 10
Amal - unblemished; pure , 10
Amalendu - the unblemished moon , 10
Amalesh - the pure one , 10
Amanda - active , 10
Amar - forever; immortal , 10
Amartya - immortal , 10
Ambar - sky , 10
Ambarish - the sky , 10
Amber - the sky , 10
Ambuj - lotus , 10
Ameya - immeasurable; boundless , 10
Amil - invaluable , 10
Amin - divine grace , 10
Amish - honest , 10
Amit - without limit; endless , 10
Amitabh - limitless lustre, 10
Amitava - same as Amitabh , 10
Amitbikram - limitless prowess , 10
Amitesh - one who is Infinite; God , 10
Amitiyoti - limitless brightness , 10
Amitrasudan - destroyer of enemies , 10
Amiya - nectar; delight , 10
Amlan - unfading; everbright , 10
Amlankusum - everlasting flower , 10
Ammar - the maker , 10
Amod - pleasure , 10
Amogh - unerring; a name of Lord Ganesh , 10
Amoha - clear; straight , 10
Amoha - clear; straight , 10
Amol - priceless , 10
Amolik - priceless , 10
Amrit - nectar , 10
Amulya - priceless , 10
Anadi - eternal , 10
Anal - fire , 10
Anamitra - the sun , 10
Anand - joy; happiness , 10
Ananga - name of Cupid or Kamadeva , 10
Ananmaya - one who cannot be broken , 10
Anant - infinite , 10
Anantram - the eternal; god , 10
Anarghya - priceless , 10
Anbarasu - king of love , 10
Anbu - love; kindness , 10
Anbuchelvan - kind; king of love, 10
Anbumadi - kind and intelligent , 10
Anbuselvan - kind; king of love , 10
Angad - an ornament , 10
Angada - bracelet , 10
Angamuthu - made of pearls , 10
Anil - god of wind , 10
Animish - open-eyed therefore attractive , 10
Anirudh - free; grandson of Lord Krishna , 10
Anirudhha - cooperative , 10
Anirvan - undying , 10
Anisa - supreme , 10
Anish - supreme; Lord Vishnu; Lord Shiva , 10
Aniteja - Immeasurable splendour , 10
Anjasa - guileless; deceitless , 10
Anjum - a token , 10
Anjuman - a token; a sumbol , 10
